lydian,0 2 4 6 7 9 11
major,0 2 4 5 7 9 11
mixolydian,0 2 4 5 7 9 10
dorian,0 2 3 5 7 9 10
aeolian,0 2 3 5 7 8 10
phrygian,0 1 3 5 7 8 10
locrian,0 1 3 5 6 8 10
melodic minor,0 2 3 5 7 9 11
melodic minor second mode,0 1 3 5 7 9 10
lydian augmented,0 2 4 6 8 9 11
lydian dominant,0 2 4 6 7 9 10
melodic minor fifth mode,0 2 4 5 7 8 10
locrian #2,0 2 3 5 6 8 10
locrian major,0 2 4 5 6 8 10
altered,0 1 3 4 6 8 10
major pentatonic,0 2 4 7 9
lydian pentatonic,0 4 6 7 11
mixolydian pentatonic,0 4 5 7 10
locrian pentatonic,0 3 5 6 10
minor pentatonic,0 3 5 7 10
minor six pentatonic,0 3 5 7 9
minor hexatonic,0 2 3 5 7 11
flat three pentatonic,0 2 3 7 9
flat six pentatonic,0 2 4 7 8
major flat two pentatonic,0 1 4 7 9
whole tone pentatonic,0 4 6 8 10
ionian pentatonic,0 4 5 7 11
lydian #5 pentatonic,0 4 6 8 11
lydian dominant pentatonic,0 4 6 7 10
minor #7 pentatonic,0 3 5 7 11
super locrian pentatonic,0 3 4 6 10
in-sen,0 1 5 7 10
iwato,0 1 5 6 10
hirajoshi,0 2 3 7 8
kumoijoshi,0 1 5 7 8
pelog,0 1 3 7 8
vietnamese 1,0 3 5 7 8
vietnamese 2,0 3 5 7 10
prometheus,0 2 4 6 9 10
prometheus neopolitan,0 1 4 6 9 10
ritusen,0 2 5 7 9
scriabin,0 1 4 7 9
piongio,0 2 5 7 9 10
major blues,0 2 3 4 7 9
minor blues,0 3 5 6 7 10
composite blues,0 2 3 4 5 6 7 9 10
augmented,0 3 4 7 8 11
augmented heptatonic,0 3 4 5 7 8 11
dorian #4,0 2 3 6 7 9 10
lydian diminished,0 2 3 6 7 9 11
whole tone,0 2 4 6 8 10
leading whole tone,0 2 4 6 8 10 11
harmonic minor,0 2 3 5 7 8 11
lydian minor,0 2 4 6 7 8 10
neopolitan,0 1 3 5 7 8 11
neopolitan minor,0 1 3 5 7 8 10
neopolitan major,0 1 3 5 7 9 11
neopolitan major pentatonic,0 4 5 6 10
romanian minor,0 2 3 6 7 9 10
double harmonic lydian,0 1 4 6 7 8 11
diminished,0 2 3 5 6 8 9 11
harmonic major,0 2 4 5 7 8 11
double harmonic major,0 1 4 5 7 8 11
egyptian,0 2 5 7 10
hungarian minor,0 2 3 6 7 8 11
hungarian major,0 3 4 6 7 9 10
oriental,0 1 4 5 6 9 10
spanish,0 1 4 5 7 8 10
spanish heptatonic,0 1 3 4 5 7 8 10
flamenco,0 1 3 4 6 7 10
balinese,0 1 3 5 7 8 11
todi raga,0 1 3 6 7 8 11
malkos raga,0 3 5 8 10
kafi raga,0 3 4 5 7 9 10 11
purvi raga,0 1 4 5 6 7 8 11
persian,0 1 4 5 6 8 11
bebop,0 2 4 5 7 9 10 11
bebop dominant,0 2 4 5 7 9 10 11
bebop minor,0 2 3 4 5 7 9 10
bebop major,0 2 4 5 7 8 9 11
bebop locrian,0 1 3 5 6 7 8 10
minor bebop,0 2 3 5 7 8 10 11
mystery #1,0 1 4 6 8 10
enigmatic,0 1 4 6 8 10 11
minor six diminished,0 2 3 5 7 8 9 11
ionian augmented,0 2 4 5 8 9 11
lydian #9,0 1 4 6 7 9 11
ichikosucho,0 2 4 5 6 7 9 11
six tone symmetric,0 1 4 5 8 9
Diminished Half-Whole,0 1 3 4 6 7 9 10
Hindu,0 2 4 5 7 8 10